X..ПРОЕКТА;Актуальность;Экономика;Этика..экология;Эстетика..образ.;Технич.часть;оценка.в.трехбальной.шкале
1;2;1;1;2;0;2
2;1;0;0;1;0;1
3;1;1;2;0;2;2
4;2;1;2;2;1;2
6;1;1;0;1;1;2
7;1;1;1;1;1;2
8;2;2;2;1;1;2
10;2;2;2;2;2;2
12;1;2;1;2;1;1
13;1;0;1;1;0;1
14;0;1;1;2;1;1
16;2;2;1;2;1;2
17;2;0;1;1;1;2
18;2;2;1;1;0;2
19;2;2;2;2;1;2
20;1;1;2;1;1;2
21;0;1;1;1;1;2
22;0;0;0;1;0;1
23;2;1;1;0;0;1
26;0;1;0;1;0;2
29;2;0;0;2;1;2
30;2;1;1;1;1;2
31;1;1;2;0;1;1
33;2;0;0;0;0;1
34;1;1;0;2;2;2
35;1;0;0;1;1;1
36;1;0;1;2;0;1
37;1;1;1;2;1;1
38;0;0;1;0;0;0
41;1;0;0;0;0;1
42;1;1;1;0;1;1
